CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
8018	GBAUP	Periode von 1991 bis 1995	1991-1995	Période de 1991 à 1995	1991-1995	Periodo dal 1991 al 1995	1991-1995	2026-05-08
8019	GBAUP	Periode von 1996 bis 2000	1996-2000	Période de 1996 à 2000	1996-2000	Periodo dal 1996 al 2000	1996-2000	2026-05-08
8020	GBAUP	Periode von 2001 bis 2005	2001-2005	Période de 2001 à 2005	2001-2005	Periodo dal 2001 al 2005	2001-2005	2026-05-08
8021	GBAUP	Periode von 2006 bis 2010	2006-2010	Période de 2006 à 2010	2006-2010	Periodo dal 2006 al 2010	2006-2010	2026-05-08
8022	GBAUP	Periode von 2011 bis 2015	2011-2015	Période de 2011 à 2015	2011-2015	Periodo dal 2011 al 2015	2011-2015	2026-05-08
8023	GBAUP	Periode nach 2015	Nach 2015	Période après 2015	> 2015	Periodo dopo il 2015	>2015	2026-05-08
9901	STRSP	Deutsch	DE	Allemand	DE	Tedesco	DE	2026-05-08
9902	STRSP	Rätoromanisch	RM	Romanche	RM	Romancio	RM	2026-05-08
9903	STRSP	Französisch	FR	Français	FR	Francese	FR	2026-05-08
9904	STRSP	Italienisch	IT	Italien	IT	Italiano	IT	2026-05-08
